id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
627,Guilherme Costa,155,,,
628,Jadson Costa,155,,5,7
629,Miguel Cosio,205,,6,4
630,Randy Costa,135,1994-07-06,5,9
631,Paulo Costa,185,1991-04-21,6,1
632,Oscar Cota,230,1984-10-15,6,0
633,Patrick Cote,170,1980-02-29,5,11
634,JC Cottrell,155,1989-11-04,5,9
635,Rashad Coulter,205,1981-11-27,5,11
636,JR Coughran,145,1994-05-17,5,6
637,Dave Courchaine,170,,5,8
638,Kim Couture,135,1975-12-18,5,8
639,Ryan Couture,155,1982-08-27,5,10
640,Nikk Covert,185,1969-08-04,5,8
641,Colby Covington,170,1988-02-22,5,11
642,Jeff Cox,155,1968-08-02,5,10
643,Nathan Coy,170,1978-07-24,5,10
644,Andrew Craig,170,1986-01-15,6,1
645,Paul Craig,205,1987-11-27,6,3
646,Dan Cramer,170,1985-10-31,6,2
647,Alberto Crane,155,1976-07-14,5,5
648,Alexander Crispim,145,,,
649,Paul Creighton,155,1970-06-04,5,6
650,Tim Credeur,185,1977-07-09,6,3
651,Alex Crispin,155,,,
652,Randy Couture,205,1963-06-22,6,1
653,Kevin Croom,155,1987-07-15,5,11
654,Ken Cross,155,1994-10-04,6,0
655,Jeff Crotty,155,,,
656,Richard Crunkilton,155,1979-11-25,5,7
657,Marcio Cruz,232,1978-04-24,6,4
658,Jimmy Crute,205,1996-03-04,6,2
659,Dominick Cruz,135,1985-03-09,5,8
660,Aalon Cruz,145,1989-09-20,6,0
661,Jay Cucciniello,155,1986-07-23,5,7
662,Chris Culley,145,1986-03-25,,
663,Abel Cullum,139,1987-04-21,5,7
664,Everett Cummings,205,,,
665,Luke Cummo,170,1980-04-27,6,0
666,Alton Cunningham,205,1993-06-24,6,2
667,Allen Crowder,245,1989-11-08,6,3
668,Josh Culibao,155,1994-05-24,5,10
669,Patrick Cummins,205,1980-11-16,6,2
670,Larry Cureton,240,,6,2
671,Kailin Curran,115,1991-04-11,5,4
672,Jeff Curran,135,1977-09-02,5,6
673,Chris Curtis,170,1987-07-15,5,10
674,Pat Curran,145,1987-08-31,5,9
675,Daron Cruickshank,155,1985-06-11,5,8
676,Ion Cutelaba,205,1993-12-14,6,1
677,Marcos da Matta,145,1973-03-18,5,4
678,Gleidson Cutis,155,1989-02-07,5,9
679,Henrique da Silva,205,1989-09-01,6,3
680,Sarah D'alelio,145,1980-12-13,5,7
681,Alex Da Silva,155,1996-02-04,5,8
682,Zak Cummings,185,1984-08-02,6,0
683,Henrique Da Silva Lopes,240,1985-03-08,6,3
684,Nicolas Dalby,170,1984-11-16,5,11
685,Paul Daley,170,1983-02-21,5,9
686,Dave Dalgliesh,205,1978-04-05,6,2
687,Richard Dalton,205,,6,1
688,Marko Damiani,170,,6,0
689,Aisling Daly,115,1987-12-24,5,2
690,Carina Damm,135,,5,4
691,Rodrigo Damm,155,1980-02-03,5,7
692,Cindy Dandois,135,1984-10-26,5,7
693,Marques Daniels,155,,,
694,Jarjis Danho,265,1983-10-15,6,3
695,Alexandre Dantas,238,1979-03-01,6,2
696,Raymond Daniels,185,,6,2
697,Mac Danzig,155,1980-01-02,5,8
698,Eduardo Dantas,135,1989-02-03,5,10
699,Karen Darabedyan,155,1986-12-18,5,7
700,Beneil Dariush,155,1989-05-06,5,10
701,Sean Daugherty,175,1975-12-04,6,0
702,Kyle Daukaus,185,1993-02-27,6,3
703,Chris Daukaus,250,1989-09-25,6,3
704,Brian Davidson,145,,5,6
705,Rick Davis,155,,5,9
706,Marcus Davis,170,1973-08-24,5,10
707,LC Davis,135,1980-10-28,5,8
708,Phil Davis,205,1984-09-25,6,2
709,Mike Davis,145,1992-10-07,6,0
710,Lemont Davis,170,,5,8
711,Justin Davis,205,1983-04-01,5,11
712,Alexis Davis,135,1984-10-04,5,6
713,Danny Davis,170,1982-07-28,6,2
714,Hakeem Dawodu,145,1991-07-02,5,8
715,Brandon Davis,135,1990-05-08,5,10
716,Grant Dawson,145,1994-02-20,5,10
717,Jason Day,185,1981-05-19,6,0
718,Martin Day,145,1988-11-10,5,10
719,Angel De Anda,225,1985-05-28,5,9
720,Yorgan De Castro,250,1986-12-19,6,0
721,Geraldo de Freitas,135,1991-09-30,5,7
722,Philip De Fries,250,1986-04-21,6,5
723,Chris de la Rocha,250,1979-05-15,6,3
724,Montana De La Rosa,125,1995-02-14,5,7
725,Mark De La Rosa,135,1994-08-31,5,6
726,Rodrigo de Lima,155,1991-03-12,5,7
727,Mike de la Torre,145,1986-09-22,5,11
728,Edilberto de Oliveira,170,1982-11-22,6,0
729,Maria De Oliveira Neta,115,1996-12-12,5,5
730,Jorge de Oliveira,155,1980-01-22,5,8
731,Isabela de Padua,125,1991-09-04,5,3
732,Germaine de Randamie,135,1984-04-24,5,9
733,Gloria de Paula,115,1995-06-10,5,5
734,Tom DeBlass,185,1982-05-14,6,0
735,Crezio de Souza,170,,,
736,Issac DeJesus,145,,,
737,Johil de Oliveira,170,,5,6
738,Rafael  Del Real,225,,5,11
739,Humberto DeLeon,135,1989-11-12,,
740,Israel Delgado,155,,5,10
741,Rolando Delgado,155,1981-11-22,6,3
742,Ante Delija,245,1990-08-07,6,4
743,Jon Delos Reyes,125,1987-08-19,5,6
744,Roland Delorme,135,1983-12-18,5,9
745,Jason DeLucia,190,1969-07-24,5,11
746,Vanessa Demopoulos,115,1988-09-22,5,2
747,Nick Denis,135,1983-10-11,5,7
748,Justin DeMoney,170,1985-07-01,,
749,Chris Dempsey,185,1987-09-08,5,10
750,Thomas Denny,170,1971-04-19,5,10
751,Robert Densley,155,,5,9
752,Shane del Rosario,250,1983-09-23,6,4
753,Jason Dent,155,1980-06-12,5,10
754,Tony DeSouza,170,1974-07-26,6,0
755,Booker DeRousse,205,1981-03-23,6,2
756,Mackenzie Dern,115,1993-03-24,5,4
757,Cory Devela,185,,5,0
758,Alessio Di Chirico,185,1989-12-12,6,0
759,John Devine,,,,
760,Micol Di Segni,115,1987-12-29,5,3
761,Cyrille Diabate,205,1973-10-06,6,6
762,Edwin DeWees,185,1982-08-07,6,1
763,Tyler Diamond,145,1991-03-18,5,7
764,Thomas Diagne,154,1983-09-03,6,1
765,Eldo Xavier Dias,180,1964-07-16,5,11
766,Rafael Dias,145,1979-10-20,5,9
767,Marc Diakiese,155,1993-03-16,5,10
768,Hacran Dias,155,1984-06-16,5,8
769,Nick Diaz,185,1983-08-02,6,1
770,Nate Diaz,170,1985-04-16,6,0
771,Adrian Diaz,145,1988-04-26,5,10
772,Mark Dickman,145,1984-07-19,5,9
773,Michael Diaz,260,,,
774,Josh Diekmann,246,1976-10-09,5,4
775,Kyle Dietz,135,1986-04-29,5,8
776,Ryan Diaz,145,,,
777,Seth Dikun,135,1980-08-05,5,10
778,TJ Dillashaw,125,1986-02-07,5,6
779,Matt Dixon,170,1995-10-09,5,10
780,Rodolfo Marques Diniz,135,1984-01-23,5,6
781,Ralph Dillon,205,,6,2
782,Drew Dimanlig,185,,,
783,Rico DiSciullo,135,1986-10-12,5,8
784,Helio Dipp,185,,6,5
785,John Dixson,275,,6,0
786,Anthony Do,125,,5,4
787,Russell Doane,135,1986-08-13,5,7
788,David Dodd,200,1973-09-22,6,2
789,Drew Dober,155,1988-10-19,5,8
790,Shana Dobson,125,1989-03-30,5,6
791,Joe Doerksen,185,1977-10-09,6,0
792,Mike Dolce,185,1976-04-15,5,11
793,John Dodson,135,1984-09-26,5,3
794,Cameron Dollar,155,1987-05-12,5,11
795,OJ Dominguez,,,,
796,John Donaldson,145,1992-07-09,5,8
797,CB Dollaway,185,1983-08-10,6,2
798,Dennis Dombrow,145,1986-03-17,,
799,Cody Donovan,205,1981-02-20,6,3
800,Houston Dorr,210,,6,1
801,Roman Dolidze,205,1988-07-15,6,2
802,Geronimo dos Santos,264,1980-08-17,6,3
803,Anderson Dos Santos,135,1985-07-24,5,5
804,Antonio Dos Santos,185,1988-07-21,5,10
805,Oleksandr Doskalchuk,125,1990-03-13,5,6
806,Tiago dos Santos e Silva,145,1987-04-12,5,9
807,Junior Dos Santos,238,1984-01-30,6,4
808,Rafael Dos Anjos,155,1984-10-26,5,8
809,David Douglas,155,1981-08-16,5,11
810,Jordan Dowdy,170,,,
811,Damion Douglas,170,,,
812,Derek Downey,185,1980-04-27,6,1
813,John Dowdy,,,,
814,John Doyle,205,1976-11-21,5,11
815,Kyle Driscoll,145,1994-09-23,5,11
816,Edson Drago,220,1977-08-29,6,4
817,Danny Downes,155,1986-04-08,6,0
818,Chris Drumm,145,,5,8
819,Hugo Duarte,240,1968-08-09,6,0
820,Tomasz Drwal,205,1982-01-22,6,1
821,Robert Drysdale,205,1981-10-05,6,3
822,Dricus Du Plessis,185,1994-01-14,6,1
823,Joe Duarte,155,1977-01-25,,
824,Antonio Duarte,135,,5,7
825,Norma Dumont,135,1990-10-01,5,7
826,Jessamyn Duke,135,1986-06-24,5,11
827,Adin Duenas,145,1988-07-02,5,6
828,Joe Duffy,155,1988-02-18,5,10
829,Milana Dudieva,135,1989-08-04,5,3
830,Todd Duffee,260,1985-12-06,6,3
831,Alexis Dufresne,135,1990-08-31,5,9
832,Kelly Dullanty,155,1977-11-04,5,8
833,Alex Dunworth,155,,5,8
834,Cody Durden,125,1991-03-29,5,7
835,Luiz Dutra,170,1982-05-06,5,11
836,Reuben Duran,135,1983-07-02,5,7
837,Rilley Dutro,125,1987-09-03,5,8
838,Tom Duquesnoy,135,1993-06-21,5,7
839,Evan Dunham,155,1981-12-18,5,10
840,Bill Duvall,185,,6,2
841,David Dvorak,125,1992-06-05,5,5
842,Matt Dwyer,170,1989-12-17,6,4
843,Merab Dvalishvili,135,1991-01-10,5,6
844,Ben Earwood,170,,5,8
845,Rolando Dy,145,1990-08-11,5,8
846,Cody East,245,1988-06-29,6,3
847,Mike Easton,135,1984-01-25,5,6
848,Marvin Eastman,185,1971-06-08,5,9
849,Vincent Eazelle,155,1980-12-07,5,11
850,Maurice Eazel,135,,5,7
851,Brian Ebersole,170,1980-11-27,6,0
852,Ross Ebanez,154,1975-05-18,5,9
853,Mark Eddiva,145,1986-02-16,5,8
854,Johnny Eduardo,135,1978-08-03,5,7
855,Abdul-Kerim Edilov,205,1991-11-25,6,2
856,Frankie Edgar,135,1981-10-16,5,6
857,Adli Edwards,145,1989-08-28,,
858,Stephanie Egger,135,1988-08-12,5,6
859,Tom Egan,170,,5,11
860,Joselyne Edwards,135,1995-09-29,5,8
861,Te Edwards,155,1990-09-11,5,8
862,Justin Edwards,155,1983-01-26,5,10
863,Leon Edwards,170,1991-08-25,6,2
864,Yves Edwards,155,1976-09-30,5,9
865,John Elam,,,,
866,Jon Olav Einemo,253,1975-12-10,6,6
867,John Paul Elias,205,,6,4
868,Per Eklund,155,,5,10
869,Saul Elizondo,135,1985-07-17,5,7
870,Justin Eilers,235,1978-06-28,6,1
871,Jake Ellenberger,170,1985-03-28,5,9
872,Darren Elkins,145,1984-05-16,5,10
873,Joe Ellenberger,155,1985-03-28,5,9
874,Eddy Ellis,170,,5,9
875,Cameron Else,135,1987-04-27,5,9
876,Lisa Ellis,115,1982-11-15,5,4
877,Anna Elmose,115,1984-10-06,5,3
878,Tim Elliott,125,1986-12-24,5,7
879,Aaron Ely,135,1989-03-18,5,8
880,Sovannahry Em,135,1992-06-26,5,4
881,Aleksander Emelianenko,255,1981-08-02,6,6
882,Rob Emerson,155,1981-07-30,5,9
883,Ramazan Emeev,170,1987-05-23,5,10
884,Josh Emmett,145,1985-03-04,5,6
885,Jamall Emmers,145,1989-07-24,5,10
886,Fedor Emelianenko,230,1976-09-28,6,0
887,Kevin Engel,170,,6,2
888,Marius Enache,155,1975-10-16,5,11
889,Oliver Enkamp,170,1991-08-10,6,0
890,Alex Enlund,145,1987-05-27,5,10
891,Ian Entwistle,135,1986-11-19,5,5
892,Kenny Ento,192,,6,2
893,Won Jin Eoh,160,,5,7
894,Andy Enz,185,1991-08-15,6,3
895,Josh Epps,130,1986-08-23,,
896,Tom Erikson,280,,6,3
897,Konstantin Erokhin,230,1983-01-31,5,11
898,Julian Erosa,145,1989-07-31,6,1
899,Nick Ertl,155,,5,9
900,Chel Erwin-Davis,170,,6,0
901,Bobby Escalante,130,,,
902,Eric Esch,350,1968-08-03,5,11
903,Pro Escobedo,205,,,
904,Cole Escovedo,135,1981-08-30,5,7
905,Evan Esguerra,145,,,
906,Efrain Escudero,155,1986-01-15,5,9
907,Carla Esparza,115,1987-10-10,5,1
908,Juan Espino,250,1980-10-09,6,3
909,Jodie Esquibel,115,1986-05-07,5,1
910,Jordan Espinosa,125,1989-11-08,5,6
911,Fred Ettish,180,,6,0
912,Terry Etim,155,1986-01-11,6,1
913,Scott Ettling,135,,,
914,Sijara Eubanks,135,1985-04-27,5,4
915,Billy Evangelista,155,1980-10-07,5,8
916,Rashad Evans,205,1979-09-25,6,0
917,Doug Evans,155,1980-10-10,5,9
918,Ashlee Evans-Smith,135,1987-07-09,5,8
919,Dan Evensen,250,1974-06-01,6,3
920,Tonya Evinger,135,1981-06-04,5,7
921,Andre Ewell,135,1988-01-21,5,8
922,Movsar Evloev,145,1994-02-11,5,7
923,Neal Ewing,185,1985-09-30,,
924,Edward Faaloloto,155,1984-07-15,,
925,Jessica Eye,125,1986-07-27,5,6
926,Wagnney Fabiano,145,1975-07-14,5,6
927,Melinda Fabian,125,1987-06-25,5,6
928,Urijah Faber,135,1979-05-14,5,6
929,Ron Faircloth,205,1979-08-16,5,9
930,Jason Fairn,230,,6,1
931,Bartosz Fabinski,170,1986-04-26,6,0
932,Rinat Fakhretdinov,185,1991-09-28,6,0
933,Zarah Fairn,145,1986-12-12,5,8
934,Maiquel Falcao,185,1981-03-08,5,11
935,Brodie Farber,170,1980-07-05,6,1
936,Joao Paulo Faria,155,,5,9
937,Chance Farrar,145,1975-09-11,5,9
938,Rico Farrington,170,1989-06-19,6,4
939,Kalindra Faria,125,1986-07-23,5,7
940,Kelly Faszholz,135,1985-04-09,5,8
941,Rodney Faverus,215,,6,0
942,Carlos Felipe,245,1995-01-12,6,0
943,Paul Felder,155,1984-04-25,5,11
944,Kevin Ferguson,235,1974-02-08,6,2
945,JP Felty,170,1979-04-28,,
946,Josh Ferguson,125,1988-05-13,5,5
947,Rhadi Ferguson,205,,5,7
948,Tony Ferguson,155,1984-02-12,5,11
949,CJ Fernandes,170,1977-11-13,6,2
950,Bibiano Fernandes,139,1980-03-30,5,7
951,Alexandre Ferreira,205,1979-04-25,5,7
952,Cezar Ferreira,185,1985-02-15,6,1
953,Diego Ferreira,155,1985-01-18,5,9
954,Timo Feucht,205,1996-01-18,6,3
955,Scott Ferrozzo,323,1965-04-26,5,11
956,Drew Fickett,155,1979-12-14,5,10
957,Scott Fiedler,235,,6,4
958,Ron Fields,200,1974-11-18,6,2
959,Deiveson Figueiredo,125,1987-12-18,5,5
960,Francisco Figueiredo,135,1989-10-23,5,6
961,Edwin Figueroa,135,1984-07-31,5,7
962,Anthony Figueroa,135,,5,4
963,Paulo Filho,185,1978-05-24,5,8
964,Andre Fili,145,1990-06-25,5,11
965,Brady Fink,183,,6,0
966,Jan Finney,135,,5,8
967,Jesse Finney,170,1974-07-11,6,0
968,Mirko Filipovic,230,1974-09-10,6,2
969,Luigi Fioravanti,170,1981-01-22,5,8
970,Manon Fiorot,125,1990-02-17,5,7
971,Luiz Firmino,154,1982-03-18,5,6
972,Spencer Fisher,155,1976-05-09,5,7
973,Chris Fishgold,145,1992-06-06,5,8
974,Bryanna Fissori,145,,5,4
975,Isi Fitikefu,205,,5,10
976,Jimmy Flick,125,1990-09-07,5,7
977,Alejandro Flores,145,1991-08-06,5,10
978,Colin Fletcher,155,1983-01-08,6,2
979,Ty Flores,205,1993-12-22,6,3
980,Rafael Fiziev,155,1993-03-05,5,8
981,Luke Flores,155,1988-03-17,6,0
982,Jon Fitch,170,1978-02-24,6,0
983,Cody Floyd,,1988-07-18,,
984,Mal Foki,220,,5,7
985,Bobby Flynn,170,,,
986,Kenny Florian,145,1976-05-26,5,10
987,Caros Fodor,155,1984-01-07,5,9
988,Matt Foki,220,,5,7
989,AJ Fonseca,145,,5,4
990,Rob Font,135,1987-06-25,5,8
991,Jesse Forbes,185,1984-10-24,6,2
992,Claudionor Fontinelle,185,,5,5
993,Sterling Ford,155,1986-03-12,5,10
994,Codale Ford,170,1979-05-13,5,9
995,Marcel Fortuna,205,1985-10-22,6,1
996,Jussier Formiga,125,1985-04-14,5,5
997,Renee Forte,155,1987-03-27,5,7
998,Brian Foster,170,1984-04-03,5,9
999,Francisco France,205,1983-01-21,6,0
1000,John Franchi,145,1982-07-16,5,6
1001,Brandon Foxworth,145,1979-04-28,5,11
1002,Mason Fowler,170,,5,11
1003,Hermes Franca,155,1974-08-26,5,6
1004,Glaico Franca Moreira,155,1991-02-28,6,0
1005,Xavier Foupa-Pokam,185,1982-07-03,6,1
1006,Rich Franklin,185,1974-10-05,6,1
1007,Zane Frazier,250,,6,5
1008,Zoila Frausto,135,,5,4
1009,Justin Frazier,265,1989-06-15,6,0
1010,Gary Frazier,245,,6,0
1011,Stephanie Frausto,115,1990-09-20,5,2
1012,Ian Freeman,225,1966-11-10,5,11
1013,Jason Freeman,225,1976-09-02,6,2
1014,Willamy Freire,155,1987-07-28,5,8
1015,Patricio Freire,145,1987-07-07,5,5
1016,Patricky Freire,155,1986-06-01,5,7
1017,Jeremy  Freitag,205,,6,1
1018,Rafael Freitas,205,,,
1019,Clay French,161,1980-10-07,5,7
1020,Donavon Frelow,135,1985-01-20,5,7
1021,Mike French,145,1975-05-29,5,10
1022,Matt Frevola,155,1990-06-11,5,9
1023,Jinh Yu Frey,115,1985-05-20,5,3
1024,Artem Frolov,185,1991-09-07,5,10
1025,Sarah Frota,125,1987-04-14,5,6
1026,Don Frye,219,1965-11-23,6,1
1027,Katsuhisa Fujii,205,1972-08-15,6,0
1028,Tony Fryklund,185,1971-03-26,6,0
1029,Jesse Fujarczyk,225,1983-01-28,6,4
1030,Keisuke Fujiwara,139,,5,6
1031,Megumi Fujii,113,1974-04-26,5,3
1032,Kazuyuki Fujita,235,1970-10-16,6,0
1033,Riki Fukuda,185,1981-01-06,6,0
1034,Masio Fullen,145,1986-10-06,5,10
1035,Sam Fulton,,,,
1036,Masakatsu Funaki,185,1969-03-13,6,0
1037,Travis Fulton,240,1977-05-29,6,0
1038,Ricardo Funch,170,1980-08-14,5,10
1039,Katsuaki Furuki,168,1980-11-10,6,0
1040,Gustavo Gabriel,125,1994-04-01,5,6
1041,James Gabert,178,,,
1042,Justin Gaethje,155,1988-11-14,5,11
1043,Alavutdin Gadjiev,185,1982-06-23,6,2
1044,Claudia Gadelha,115,1988-12-07,5,4
1045,Sheila Gaff,135,1989-12-29,5,5
1046,Muin Gafurov,135,1996-05-17,5,7
1047,Mitch Gagnon,135,1984-10-10,5,5
1048,Brandon Gaines,185,,6,3
1049,Travis Galbraith,170,1981-05-18,6,0
1050,Mickey Gall,170,1992-01-22,6,2
1051,Dave Galera,135,1978-01-12,5,11
1052,Daniel Gallemore,265,,6,5
1053,Tom Gallicchio,170,1986-09-23,5,10
1054,Turrell Galloway,145,,5,3
1055,Zelg Galesic,185,1979-02-16,6,2
1056,Eric Galvan,155,,,
1057,Lucas Gamaza,170,,,
1058,Marcos Galvao,135,1981-06-23,5,7
1059,Andre Galvao,168,1982-09-29,5,7
1060,Joey Gambino,145,1988-10-26,5,7
1061,Mateusz Gamrot,155,1990-12-11,5,10
1062,Shamil Gamzatov,205,1990-08-09,6,2
1063,Manvel Gamburyan,135,1981-05-08,5,5
1064,Ariel Gandulla,205,1968-05-07,5,11
1065,Eduardo Garagorri,145,1989-05-28,5,9
1066,Sean Gannon,265,,6,3
1067,Ciryl Gane,245,1990-04-12,6,4
1068,Cody Garbrandt,135,1991-07-07,5,8
1069,Leonard Garcia,145,1979-07-14,5,10
1070,Alejandro Garcia,145,,5,7
1071,Edgar Garcia,170,1984-02-22,5,10
1072,Nick Garcia,125,,5,4
1073,Alex Garcia,170,1987-07-14,5,9
1074,Steve Garcia,155,1992-05-22,6,0
1075,Elias Garcia,125,1992-09-13,5,5
1076,Rafa Garcia,155,1994-08-05,5,7
1077,Rulon Gardner,265,1971-08-16,6,3
1078,David Gardner,155,1977-05-17,5,11
1079,Pablo Garza,145,1983-09-16,6,1
1080,Brian Gassaway,170,1972-08-07,6,1
1081,Azamat Gashimov,125,1990-04-07,5,6
1082,Willie Gates,125,1987-01-21,5,8
1083,Kelvin Gastelum,185,1991-10-24,5,9
1084,Louis Gaudinot,125,1984-08-28,5,3
1085,Melissa Gatto,135,1996-02-05,5,5
1086,Charlene Gellner,125,,5,2
1087,Chad George,135,1982-04-30,5,6
1088,Paul Georgieff,170,1982-09-22,6,2
1089,Brian Geraghty,155,1980-11-04,5,7
1090,Derek Getzel,155,,6,0
1091,Karine Gevorgyan,125,1989-03-09,5,4
1092,Christos Giagos,155,1990-01-23,5,10
1093,Darrel Gholar,194,,5,8
1094,Joe Giannetti,155,1995-07-05,6,0
1095,Tiki Ghosn,170,1977-02-09,5,10
1096,Nick Gibbons,155,,5,10
1097,James Giboo,170,1978-01-06,5,11
1098,Lance Gibson,185,1970-11-20,5,9
1099,Lee Gibson,155,,5,7
1100,Chase Gibson,155,1990-02-07,5,10
1101,Cody Gibson,135,1987-09-11,5,10
1102,Kenny Giddens,155,,5,11
1103,Thomas Gifford,155,1992-07-26,6,1
1104,Kultar Gill,154,1979-03-24,6,0
1105,Trevin Giles,185,1992-08-06,6,0
1106,Joey Gilbert,155,1976-06-05,5,11
1107,Gregor Gillespie,155,1986-11-13,5,7
1108,Jesse Gillespie,185,,,
1109,Jason Gilliam,170,,6,0
1110,Krishaun Gilmore,,,,
1111,Alex Gilpin,145,1992-03-26,5,7
1112,Bob Gilstrap,200,,6,3
1113,Demetrius Gioulacos,185,,5,11
1114,Billy Giovanella,125,1985-08-20,5,8
1115,He-Man Gipson,,,,
1116,Israel Giron,155,1974-01-16,5,8
1117,Jason Glaza,230,,6,0
1118,Joseph Gigliotti,185,1993-08-13,5,11
1119,Brandon Girtz,155,1985-03-06,5,7
1120,Mike Glenn,205,1977-10-09,,
1121,Rick Glenn,145,1989-04-12,6,0
1122,Clint Godfrey,135,1982-10-21,5,6
1123,Mark Godbeer,240,1983-11-22,6,4
1124,Jason Godsey,230,,6,2
1125,Jonny Goh,155,,5,11
1126,Hannah Goldy,125,1992-05-18,5,4
1127,Allan Goes,205,1971-04-20,6,0
1128,Marcelo Golm,249,1992-09-15,6,3
1129,Alan Gomez,155,,,
1130,Sergio Gomez,155,1982-04-29,5,6
1131,Frank Gomez,135,1986-03-31,5,10
1132,David Gomez,155,1983-08-08,,
1133,Ulysses Gomez,125,1983-05-25,5,6
1134,Edson Gomez,170,1991-02-23,5,8
1135,Joey Gomez,155,1989-08-29,5,10
1136,Luis Gomez,145,1995-01-28,5,7
1137,Silvana Gomez Juarez,125,1984-06-12,5,3
1138,Akihiro Gono,170,1974-10-07,5,7
1139,Takanori Gomi,155,1978-09-22,5,7
1140,Gabriel Gonzaga,242,1979-05-18,6,2
1141,Nick Gonzalez,155,1981-03-03,5,6
1142,Justin Gonzales,145,1991-04-28,5,9
1143,Fabian Gonzalez,135,,5,10
1144,Fernando Gonzalez,170,1983-09-15,5,9
1145,Lewis Gonzalez,170,1987-09-19,5,10
1146,Jorge Gonzalez,205,1984-02-29,6,2
1147,Jason Gonzalez,155,1990-02-28,6,2
1148,Kier Gooch,155,1986-04-21,,
1149,Pearl Gonzalez,115,1986-08-12,5,4
1150,Mikey Gonzalez,155,1985-08-13,5,11
1151,Jared Gooden,170,1993-12-05,6,0
1152,Lyman Good,170,1985-05-26,6,0
1153,Jordan Goodwin,155,,,
1154,Gary Goodridge,249,1966-01-17,6,3
1155,Tebaris Gordon,265,1988-07-19,6,1
1156,Gerard Gordeau,216,1959-03-30,6,5
1157,Eddie Gordon,185,1983-07-22,6,0
1158,Alex Gorgees,155,1995-08-11,6,2
1159,Malcolm Gordon,125,1990-05-19,5,7
1160,Jared Gordon,145,1988-09-06,5,9
1161,Tim Gorman,135,1983-04-29,5,5
1162,Thibault Gouti,155,1987-02-27,5,10
1163,Jonathan Goulet,170,1979-07-13,6,0
1164,Chase Gormley,265,,6,3
1165,Todd Gouwenberg,205,1974-09-25,6,1
1166,Wilson Gouveia,185,1978-10-03,6,1
1167,Justin Governale,145,,,
1168,Crosley Gracie,190,1979-07-18,5,9
1169,Daniel Gracie,225,,6,2
1170,Hugo Govea,,,,
1171,Renzo Gracie,185,1967-03-11,5,10
1172,Damian Grabowski,241,1980-05-12,6,1
1173,Ralph Gracie,183,,5,9
1174,Royce Gracie,175,1966-12-12,6,1
1175,Rickson Gracie,185,1958-11-20,5,10
1176,Ralek Gracie,210,1985-10-04,6,2
1177,Ryan Gracie,200,1974-08-14,5,9
1178,Royler Gracie,150,1965-12-06,5,8
1179,Rodrigo Gracie,183,1975-04-11,6,0
1180,Cesar Gracie,181,,5,10
1181,Rolles Gracie,242,1978-07-14,6,4
1182,Roger Gracie,185,1981-09-26,6,4
1183,Igor Gracie,170,1980-02-04,5,11
1184,Kron Gracie,145,1988-07-11,5,9
1185,Steven Graham,290,,6,1
1186,Miranda Granger,125,1992-04-13,5,7
1187,Scott Graham,185,,6,4
1188,Neiman Gracie,170,,6,0
1189,Davey Grant,135,1985-12-18,5,8
1190,TJ Grant,155,1984-02-26,5,10
1191,Tony Gravely,135,1991-09-28,5,5
1192,Alexa Grasso,125,1993-08-09,5,5
1193,Shelton Graves,255,1985-10-23,6,2
1194,Michael Graves,170,1991-01-08,5,10
1195,Kevin Gray,125,1985-05-03,5,4
1196,Dwight Grant,170,1984-09-14,6,1
1197,James Gray,135,1987-10-25,5,9
1198,Sam Greco,205,1967-05-03,6,2
1199,Max Griffin,170,1985-11-29,5,11
1200,Tyson Griffin,145,1984-04-20,5,6
1201,Gabe Green,170,1993-05-02,5,10
1202,Bobby Green,155,1986-09-09,5,10
1203,Matt Grice,145,1981-07-29,5,8
1204,Maurice Greene,258,1986-07-05,6,7
1205,Desmond Green,155,1989-10-11,5,10
1206,Forrest Griffin,205,1979-03-16,6,3
1207,Rodrigo Gripp de Sousa,205,,5,11
1208,Chuck Grigsby,205,,6,6
1209,Jordan Griffin,145,1990-02-28,5,10
1210,Chad Griggs,205,1978-05-15,6,1
1211,Maxim Grishin,220,1984-05-02,6,3
1212,Josh Grispi,145,1988-10-14,5,11
1213,Garrett Gross,155,1988-08-08,5,9
1214,Kendall Grove,185,1982-11-12,6,6
1215,Neil Grove,265,1971-01-18,6,6
1216,Wang Guan,145,1986-03-14,5,9
1217,Chris Gruetzemacher,155,1986-06-16,5,8
1218,Vik Grujic,170,1977-02-06,5,11
1219,Mike Grundy,145,1987-01-03,5,7
1220,Nandor Guelmino,230,1975-12-20,6,3
1221,Fabricio Guerreiro,145,1990-07-24,5,10
1222,Brad Gumm,170,,5,11
1223,Leonardo Guimaraes,185,1982-04-15,6,0
1224,Jason Guida,214,1977-08-04,5,10
1225,Shannon Gugerty,155,1981-12-30,5,10
1226,Clay Guida,155,1981-12-08,5,7
1227,Melvin Guillard,155,1983-03-30,5,9
1228,Marcelo Guimaraes,185,1983-06-25,6,0
1229,Chris Guillen,240,1972-12-09,6,0
1230,Fabio Gurgel,205,,6,0
1231,John Gunther,155,1985-11-24,5,9
1232,Jorge Gurgel,155,1977-01-25,5,7
1233,John Gunderson,155,1979-01-05,5,9
1234,Andre Gusmao,205,1977-05-19,6,0
1235,Alexander Gustafsson,205,1987-01-15,6,5
1236,Justin Guthrie,170,1981-01-19,6,1
1237,Horacio Gutierrez,145,1990-09-15,5,10
